,,Status Id,,Campus Pref,,,,Discpline Pref.,,,,Matriculation,,,,Intermediate,,,,,,NU Test Marks,,SAT I ,,SAT II,,,NU Merit Marks,,NTS Admission Offer,,NU Admission Offer,,Admission,,,,,,,,,,,,,,,,,,,,,,,,,
L,CITY,STATUS_ID,STATUS,Ist,2nd,3rd,4th,Ist,2nd,3rd,4th,Board,Degree,Total,Obtained,Board,Degree,Total,Obtained,NTS_MARKS,NU_TEST_CENTER,BBA,BS,Total,Obtained,Total,Obtained,NTS Merit Marks,BBA/BS(AF),BS,Campus,Discipline,Campus,Discipline,Campus,Discipline,DEGREE_STATUS,,,,,,,,,,,,,,,,,,,,,,,
1900101,Karachi ,2,AcademicInfo,,,,,,,,,Karachi,SSC,850,775,Karachi,HSSC (I+II),1100,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900103,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),BS(EE),,,Federal,SSC,1050,914,Lahore,HSSC (I+II),1100,914,,LHR,,53.73611,,,,,,,59.91,,,,,ISB,BS(AI)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900104,Faisalabad,10,Admit Card Printed,LHR,,,,BS(CV),,,,Faislabad,SSC,1100,943,Faislabad,HSSC-I,520,943,0,CFD,,45.416666,,,,,,,65.02,,,LHR,BS(CV),LHR,BS(CV)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900106,Other,4,TestType,LHR,,,,BBA,,,,Cambridge,O-Level,900,675,Federal,HSSC-I,520,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900107,Attock,8,Fee Paid,PWR,,,,BS(EE),BS(CS),,,Rawalpindi,SSC,1100,729,Rawalpindi,HSSC (I+II),1100,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900108,Karachi ,2,AcademicInfo,,,,,,,,,Karachi,SSC,850,611,Karachi,HSSC (I+II),1100,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900109,Shikarpur,2,AcademicInfo,,,,,,,,,Cambridge,O-Level,900,650,,,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900110,Islamabad,10,Admit Card Printed,ISB,,,,BS(CS),,,,Federal,SSC,1050,943,Federal,HSSC-I,520,943,,ISB,,47.131942,,,,,,,64.34,,,ISB,BS(CS),,,,,,,,,,,,,,,,,,,,,,,,,,
1900112,Karachi ,10,Admit Card Printed,ISB,,,,BS(CS),,,,Cambridge,O-Level,900,540,Cambridge,A-Level,1100,540,63,ISB,,29.694443,,,,,61.27,,44.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900113,Lahore,1,PersonalInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900114,Lahore,8,Fee Paid,ISB,,,,BBA,,,,Others,SSC,100,90.8,Others,Diploma,,90.8,,,,,2400,2120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
